,PassengerId,Survived,Pclass,Sex,Fare_q,Age,SibSp,Parch
0,1,0.0,3,0,1,22.0,0,0
1,3,1.0,3,1,3,26.0,0,0
2,5,0.0,3,0,1,35.0,0,0
4,7,0.0,1,0,9,54.0,0,0
5,12,1.0,1,1,7,58.0,0,0
6,13,0.0,3,0,1,20.0,0,0
7,15,0.0,3,1,1,14.0,0,0
8,16,1.0,2,1,6,55.0,0,0
11,21,0.0,2,0,7,35.0,0,0
12,22,1.0,2,0,5,34.0,0,0
13,23,1.0,3,1,3,15.0,0,0
14,24,1.0,1,0,8,28.0,0,0
18,31,0.0,1,0,8,40.0,0,0
20,34,0.0,2,0,1,66.0,0,0
22,38,0.0,3,0,1,21.0,0,0
23,41,0.0,3,1,4,40.0,0,0
25,45,1.0,3,1,3,19.0,0,0
30,52,0.0,3,0,2,21.0,0,0
32,57,1.0,2,1,1,21.0,0,0
33,58,0.0,3,0,1,28.5,0,0
34,61,0.0,3,0,1,22.0,0,0
35,62,1.0,1,1,10,38.0,0,0
38,67,1.0,2,1,1,29.0,0,0
39,68,0.0,3,0,4,19.0,0,0
40,69,1.0,3,1,3,17.0,0,0
41,70,0.0,3,0,4,26.0,0,0
42,71,0.0,2,0,1,32.0,0,0
43,73,0.0,2,0,9,21.0,0,0
44,75,1.0,3,0,9,32.0,0,0
45,76,0.0,3,0,2,25.0,0,0
48,80,1.0,3,1,5,30.0,0,0
49,81,0.0,3,0,4,22.0,0,0
50,82,1.0,3,0,4,29.0,0,0
52,84,0.0,1,0,9,28.0,0,0
53,85,1.0,2,1,1,17.0,0,0
55,90,0.0,3,0,1,24.0,0,0
56,91,0.0,3,0,1,29.0,0,0
57,92,0.0,3,0,1,20.0,0,0
58,95,0.0,3,0,1,59.0,0,0
60,97,0.0,1,0,8,71.0,0,0
61,101,0.0,3,1,3,28.0,0,0
63,104,0.0,3,0,4,33.0,0,0
64,105,0.0,3,0,3,37.0,0,0
65,106,0.0,3,0,3,28.0,0,0
66,107,1.0,3,1,2,21.0,0,0
68,109,0.0,3,0,3,38.0,0,0
70,111,0.0,1,0,9,47.0,0,0
71,113,0.0,3,0,1,22.0,0,0
72,114,0.0,3,1,4,20.0,0,0
73,115,0.0,3,1,6,17.0,0,0
74,116,0.0,3,0,3,21.0,0,0
75,117,0.0,3,0,2,70.5,0,0
77,124,1.0,2,1,5,32.5,0,0
79,128,1.0,3,0,1,24.0,0,0
81,130,0.0,3,0,1,45.0,0,0
82,131,0.0,3,0,3,33.0,0,0
83,132,0.0,3,0,1,20.0,0,0
84,135,0.0,2,0,5,25.0,0,0
85,136,0.0,2,0,6,23.0,0,0
86,137,1.0,1,1,7,19.0,0,0
87,139,0.0,3,0,4,16.0,0,0
88,140,0.0,1,0,10,24.0,0,0
89,142,1.0,3,1,2,22.0,0,0
90,144,0.0,3,0,1,19.0,0,0
91,145,0.0,2,0,5,18.0,0,0
92,146,0.0,2,0,8,19.0,0,0
93,147,1.0,3,0,2,27.0,0,0
94,150,0.0,2,0,5,42.0,0,0
95,151,0.0,2,0,5,51.0,0,0
96,153,0.0,3,0,1,55.5,0,0
98,157,1.0,3,1,2,16.0,0,0
99,158,0.0,3,0,1,30.0,0,0
101,162,1.0,2,1,6,40.0,0,0
102,163,0.0,3,0,2,26.0,0,0
103,164,0.0,3,0,4,17.0,0,0
106,170,0.0,3,0,9,28.0,0,0
107,171,0.0,1,0,8,61.0,0,0
108,174,0.0,3,0,3,21.0,0,0
109,175,0.0,1,0,8,56.0,0,0
110,176,0.0,3,0,1,18.0,0,0
112,178,0.0,1,1,8,50.0,0,0
113,179,0.0,2,0,5,30.0,0,0
114,180,0.0,3,0,1,36.0,0,0
118,188,1.0,1,0,7,45.0,0,0
119,190,0.0,3,0,3,36.0,0,0
120,191,1.0,2,1,5,32.0,0,0
121,192,0.0,2,0,5,19.0,0,0
122,193,1.0,3,1,1,19.0,0,0
123,195,1.0,1,1,8,44.0,0,0
124,196,1.0,1,1,10,58.0,0,0
126,198,0.0,3,0,4,42.0,0,0
128,200,0.0,2,1,5,24.0,0,0
129,201,0.0,3,0,4,28.0,0,0
130,203,0.0,3,0,1,34.0,0,0
131,204,0.0,3,0,1,45.5,0,0
132,205,1.0,3,0,1,18.0,0,0
133,208,1.0,3,0,6,26.0,0,0
134,209,1.0,3,1,2,16.0,0,0
135,210,1.0,1,0,8,40.0,0,0
136,211,0.0,3,0,1,24.0,0,0
137,212,1.0,2,1,6,35.0,0,0
138,213,0.0,3,0,1,22.0,0,0
139,214,0.0,2,0,5,30.0,0,0
141,217,1.0,3,1,3,27.0,0,0
142,218,0.0,2,0,8,42.0,0,0
143,219,1.0,1,1,9,32.0,0,0
144,220,0.0,2,0,1,30.0,0,0
145,221,1.0,3,0,1,16.0,0,0
146,222,0.0,2,0,5,27.0,0,0
147,223,0.0,3,0,1,51.0,0,0
149,226,0.0,3,0,4,22.0,0,0
150,227,1.0,2,0,1,19.0,0,0
151,228,0.0,3,0,1,20.5,0,0
152,229,0.0,2,0,5,18.0,0,0
154,232,0.0,3,0,2,29.0,0,0
155,233,0.0,2,0,5,59.0,0,0
156,235,0.0,2,0,1,24.0,0,0
158,239,0.0,2,0,1,19.0,0,0
159,240,0.0,2,0,5,33.0,0,0
161,243,0.0,2,0,1,29.0,0,0
162,244,0.0,3,0,1,22.0,0,0
163,245,0.0,3,0,1,30.0,0,0
164,247,0.0,3,1,2,25.0,0,0
166,253,0.0,1,0,7,62.0,0,0
168,258,1.0,1,1,10,30.0,0,0
169,259,1.0,1,1,1,35.0,0,0
170,260,1.0,2,1,7,50.0,0,0
172,264,0.0,1,0,1,40.0,0,0
